adv_counts	path	text	NO
adv_counts	day	date	NO
adv_counts	counter	int8	NO
b_ips	ip	inet	NO
b_ips	mod_id	int4	NO
b_ips	date	timestamptz	NO
b_ips	reason	varchar	YES
b_ips	ban_date	timestamptz	YES
b_ips	allow_posting	bool	YES
b_ips	captcha_required	bool	YES
ban_info	userid	int4	NO
ban_info	bandate	timestamptz	NO
ban_info	reason	text	NO
ban_info	ban_by	int4	NO
comments	id	int4	NO
comments	topic	int4	NO
comments	userid	int4	NO
comments	title	varchar	NO
comments	postdate	timestamptz	NO
comments	replyto	int4	YES
comments	deleted	bool	NO
comments	postip	inet	YES
comments	ua_id	int4	YES
comments	editor_id	int4	YES
comments	edit_date	timestamp	YES
comments	edit_count	int4	YES
comments	reactions	jsonb	NO
del_info	msgid	int4	NO
del_info	delby	int4	NO
del_info	reason	text	YES
del_info	deldate	timestamptz	YES
del_info	bonus	int4	YES
edit_info	id	int4	NO
edit_info	msgid	int4	NO
edit_info	editor	int4	NO
edit_info	oldmessage	text	YES
edit_info	editdate	timestamptz	NO
edit_info	oldtitle	text	YES
edit_info	oldtags	text	YES
edit_info	oldlinktext	text	YES
edit_info	oldurl	text	YES
edit_info	object_type	edit_event_type	NO
edit_info	oldminor	bool	YES
edit_info	oldimage	int4	YES
edit_info	oldpoll	jsonb	YES
edit_info	oldaddimages	_int4	YES
email_domains_block	domain	text	NO
email_domains_block	block_until	timestamptz	NO
email_domains_block	auto	bool	NO
email_domains_block	moderator_id	int4	YES
email_domains_block	blocked_at	timestamptz	NO
groups	id	int4	NO
groups	title	varchar	NO
groups	image	varchar	YES
groups	section	int4	NO
groups	stat3	int4	NO
groups	restrict_topics	int4	YES
groups	info	text	YES
groups	restrict_comments	int4	NO
groups	longinfo	text	YES
groups	resolvable	bool	NO
groups	urlname	text	NO
ignore_list	userid	int4	NO
ignore_list	ignored	int4	NO
images	id	int4	NO
images	topic	int4	NO
images	deleted	bool	NO
images	extension	text	NO
images	main	bool	NO
memories	id	int4	NO
memories	userid	int4	NO
memories	topic	int4	NO
memories	add_date	timestamptz	NO
memories	watch	bool	NO
message_warnings	id	int4	NO
message_warnings	topic	int4	NO
message_warnings	comment	int4	YES
message_warnings	postdate	timestamptz	NO
message_warnings	author	int4	NO
message_warnings	message	text	NO
message_warnings	warning_type	warning_type	NO
message_warnings	closed_by	int4	YES
message_warnings	closed_when	timestamptz	YES
monthly_stats	section	int4	YES
monthly_stats	year	int4	NO
monthly_stats	month	int4	NO
monthly_stats	c	int4	NO
monthly_stats	groupid	int4	YES
msgbase	id	int8	NO
msgbase	message	text	NO
msgbase	markup	markup_type	NO
polls	id	int4	NO
polls	topic	int4	NO
polls	multiselect	bool	NO
polls_variants	id	int4	NO
polls_variants	vote	int4	NO
polls_variants	label	text	NO
polls_variants	votes	int4	NO
reactions_log	origin_user	int4	NO
reactions_log	topic_id	int4	NO
reactions_log	comment_id	int4	YES
reactions_log	set_date	timestamptz	NO
reactions_log	reaction	text	NO
sections	id	int4	NO
sections	name	varchar	NO
sections	moderate	bool	NO
sections	imagepost	bool	NO
sections	linktext	varchar	YES
sections	havelink	bool	NO
sections	expire	interval	NO
sections	vote	bool	YES
sections	scroll_mode	varchar	NO
sections	restrict_topics	int4	YES
sections	imageallowed	bool	NO
tags	msgid	int4	YES
tags	tagid	int4	YES
tags_synonyms	value	text	NO
tags_synonyms	tagid	int4	NO
tags_values	id	int4	NO
tags_values	counter	int4	YES
