constraint	comments.comments_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic) REFERENCES topics(id)"]
constraint	comments.comments_ua_id_fkey	["f", false, false, true, "FOREIGN KEY (ua_id) REFERENCES user_agents(id)"]
constraint	comments.comments_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	del_info.del_info_delby_fkey	["f", false, false, true, "FOREIGN KEY (delby) REFERENCES users(id)"]
constraint	del_info.del_info_pkey	["p", false, false, true, "PRIMARY KEY (msgid)"]
constraint	edit_info.edit_info_editor_fkey	["f", false, false, true, "FOREIGN KEY (editor) REFERENCES users(id)"]
constraint	edit_info.edit_info_msgid_fkey	["f", false, false, true, "FOREIGN KEY (msgid) REFERENCES msgbase(id)"]
constraint	edit_info.edit_info_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	email_domains_block.email_domains_block_moderator_fkey	["f", false, false, true, "FOREIGN KEY (moderator_id) REFERENCES users(id) ON DELETE SET NULL"]
constraint	email_domains_block.email_domains_block_pkey	["p", false, false, true, "PRIMARY KEY (domain)"]
constraint	groups.groups_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	groups.groups_section_fkey	["f", false, false, true, "FOREIGN KEY (section) REFERENCES sections(id)"]
constraint	ignore_list.ignore_list_ignored_fkey	["f", false, false, true, "FOREIGN KEY (ignored) REFERENCES users(id)"]
constraint	ignore_list.ignore_list_pkey	["p", false, false, true, "PRIMARY KEY (userid, ignored)"]
constraint	ignore_list.ignore_list_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	images.images_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	images.images_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic) REFERENCES topics(id)"]
constraint	memories.memories_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	memories.memories_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic) REFERENCES topics(id)"]
constraint	memories.memories_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	message_warnings.message_warnings_author_fkey	["f", false, false, true, "FOREIGN KEY (author) REFERENCES users(id)"]
constraint	message_warnings.message_warnings_closed_by_fkey	["f", false, false, true, "FOREIGN KEY (closed_by) REFERENCES users(id)"]
constraint	message_warnings.message_warnings_comment_fkey	["f", false, false, true, "FOREIGN KEY (comment) REFERENCES comments(id)"]
constraint	message_warnings.message_warnings_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	message_warnings.message_warnings_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic) REFERENCES topics(id)"]
constraint	monthly_stats.monthly_stats_section_fkey	["f", false, false, true, "FOREIGN KEY (section) REFERENCES sections(id)"]
constraint	msgbase.msgbase_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	polls.votenames_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	polls_variants.votes_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	reactions_log.reactions_log_comment_fkey	["f", false, false, true, "FOREIGN KEY (comment_id) REFERENCES comments(id)"]
constraint	reactions_log.reactions_log_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic_id) REFERENCES topics(id)"]
constraint	reactions_log.reactions_log_user_fkey	["f", false, false, true, "FOREIGN KEY (origin_user) REFERENCES users(id)"]
constraint	sections.sections_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	tags.tags_msgid_fkey	["f", false, false, true, "FOREIGN KEY (msgid) REFERENCES topics(id)"]
constraint	tags.tags_msgid_key	["u", false, false, true, "UNIQUE (msgid, tagid)"]
constraint	tags.tags_tagid_fkey	["f", false, false, true, "FOREIGN KEY (tagid) REFERENCES tags_values(id)"]
constraint	tags_synonyms.tags_synonyms_pkey	["p", false, false, true, "PRIMARY KEY (value)"]
constraint	tags_synonyms.tags_synonyms_tag_fkey	["f", false, false, true, "FOREIGN KEY (tagid) REFERENCES tags_values(id)"]
constraint	tags_values.tags_values_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	tags_values.tags_values_value_key	["u", false, false, true, "UNIQUE (value)"]
constraint	telegram_posts.telegram_posts_pkey	["p", false, false, true, "PRIMARY KEY (telegram_id)"]
constraint	telegram_posts.telegram_posts_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic_id) REFERENCES topics(id)"]
constraint	topic_users_notified.topic_users_notified_topic_fkey	["f", false, false, true, "FOREIGN KEY (topic) REFERENCES topics(id)"]
constraint	topic_users_notified.topic_users_notified_user_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	topics.topics_commitby_fkey	["f", false, false, true, "FOREIGN KEY (commitby) REFERENCES users(id)"]
constraint	topics.topics_groupid_fkey	["f", false, false, true, "FOREIGN KEY (groupid) REFERENCES groups(id)"]
constraint	topics.topics_ua_id_fkey	["f", false, false, true, "FOREIGN KEY (ua_id) REFERENCES user_agents(id)"]
constraint	topics.topics_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	user_agents.user_agents_name_key	["u", false, false, true, "UNIQUE (name)"]
constraint	user_agents.user_agents_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	user_events.event_type_origin_fkey	["f", false, false, true, "FOREIGN KEY (origin_user) REFERENCES users(id)"]
constraint	user_events.user_events_comment_id_fkey	["f", false, false, true, "FOREIGN KEY (comment_id) REFERENCES comments(id)"]
constraint	user_events.user_events_message_id_fkey	["f", false, false, true, "FOREIGN KEY (message_id) REFERENCES topics(id)"]
constraint	user_events.user_events_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	user_events.user_events_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	user_events.user_events_warning_id_fkey	["f", false, false, true, "FOREIGN KEY (warning_id) REFERENCES message_warnings(id)"]
constraint	user_invites.user_invites_invited_fkey	["f", false, false, true, "FOREIGN KEY (invited_user) REFERENCES users(id)"]
constraint	user_invites.user_invites_owner_fkey	["f", false, false, true, "FOREIGN KEY (owner) REFERENCES users(id)"]
constraint	user_invites.user_invites_pkey	["p", false, false, true, "PRIMARY KEY (invite_code)"]
constraint	user_log.user_log_action_userid_fkey	["f", false, false, true, "FOREIGN KEY (action_userid) REFERENCES users(id) ON DELETE CASCADE"]
constraint	user_log.user_log_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	user_log.user_log_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id) ON DELETE CASCADE"]
constraint	user_remarks.refuser_remarks_userid_fkey	["f", false, false, true, "FOREIGN KEY (ref_user_id) REFERENCES users(id) ON DELETE CASCADE"]
constraint	user_remarks.user_remarks_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	user_remarks.user_remarks_userid_fkey	["f", false, false, true, "FOREIGN KEY (user_id) REFERENCES users(id)"]
constraint	user_remarks.user_remarks_userid_refuser	["u", false, false, true, "UNIQUE (user_id, ref_user_id)"]
constraint	user_settings.user_settings_id_fkey	["f", false, false, true, "FOREIGN KEY (id) REFERENCES users(id)"]
constraint	user_settings.user_settings_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	user_tags.user_tags_tagid_fkey	["f", false, false, true, "FOREIGN KEY (tag_id) REFERENCES tags_values(id)"]
constraint	user_tags.user_tags_userid_fkey	["f", false, false, true, "FOREIGN KEY (user_id) REFERENCES users(id)"]
constraint	users.users_frozen_by_fkey	["f", false, false, true, "FOREIGN KEY (frozen_by) REFERENCES users(id)"]
constraint	users.users_pkey	["p", false, false, true, "PRIMARY KEY (id)"]
constraint	vote_users.vote_users_userid_fkey	["f", false, false, true, "FOREIGN KEY (userid) REFERENCES users(id)"]
constraint	vote_users.vote_users_variant_id_fkey	["f", false, false, true, "FOREIGN KEY (variant_id) REFERENCES polls_variants(id)"]
constraint	vote_users.vote_users_vote_fkey	["f", false, false, true, "FOREIGN KEY (vote) REFERENCES polls(id)"]
default	adv_counts.counter	["0"]
default	b_ips.allow_posting	["false"]
default	b_ips.captcha_required	["true"]
default	ban_info.bandate	["now()"]
default	comments.deleted	["false"]
default	comments.edit_count	["0"]
default	comments.reactions	["'{}'::jsonb"]
default	edit_info.editdate	["now()"]
default	edit_info.id	["nextval('edit_info_id_seq'::regclass)"]
default	edit_info.object_type	["'TOPIC'::edit_event_type"]
default	email_domains_block.blocked_at	["now()"]
default	groups.resolvable	["false"]
default	groups.restrict_comments	["'-9999'::integer"]
default	groups.stat3	["0"]
default	images.deleted	["false"]
default	images.main	["true"]
default	memories.add_date	["now()"]
default	memories.id	["nextval('memories_id_seq'::regclass)"]
default	memories.watch	["true"]
default	message_warnings.postdate	["now()"]
default	message_warnings.warning_type	["'rule'::warning_type"]
default	msgbase.markup	["'BBCODE_TEX'::markup_type"]
default	polls.multiselect	["false"]
default	polls.topic	["0"]
default	polls_variants.votes	["0"]
default	reactions_log.set_date	["now()"]
default	sections.imageallowed	["false"]
default	sections.restrict_topics	["'-50'::integer"]
default	sections.scroll_mode	["'NO_SCROLL'::character varying"]
default	sections.vote	["false"]
default	tags_values.counter	["0"]
default	tags_values.id	["nextval('tags_values_id_seq'::regclass)"]
default	telegram_posts.postdate	["now()"]
default	topics.allow_anonymous	["true"]
default	topics.deleted	["false"]
default	topics.draft	["false"]
default	topics.minor	["false"]
default	topics.moderate	["false"]
default	topics.notop	["false"]
default	topics.open_warnings	["0"]
default	topics.reactions	["'{}'::jsonb"]
default	topics.stat1	["0"]
default	topics.stat3	["0"]
default	topics.sticky	["false"]
default	user_agents.id	["nextval('user_agents_id_seq'::regclass)"]
default	user_agents.name	["''::character varying"]
default	user_events.event_date	["now()"]
default	user_events.id	["nextval('user_events_id_seq'::regclass)"]
default	user_events.unread	["true"]
default	user_invites.issue_date	["now()"]
default	user_log.id	["nextval('user_log_id_seq'::regclass)"]
default	user_tags.is_favorite	["false"]
default	users.activated	["false"]
default	users.blocked	["false"]
default	users.candel	["false"]
default	users.canmod	["false"]
default	users.corrector	["false"]
default	users.lostpwd	["'1970-01-01 00:00:00+00'::timestamp with time zone"]
default	users.token_generation	["0"]
default	users.unread_events	["0"]
default	users.userinfo_markup	["'MARKDOWN'::markup_type"]
function	comins()	["trigger", "plpgsql", "v", "u", false, false, false, false, "\n                                  DECLARE\n                                          cgroup int;\n                                  BEGIN\n                                          SELECT groupid INTO cgroup FROM topics WHERE topics.id = NEW.topic;\n                                          UPDATE topics SET stat1=stat1+1,stat3=stat3+1,lastmod=CURRENT_TIMESTAMP WHERE topics.id = NEW.topic;\n                                          UPDATE groups SET stat3=stat3+1 WHERE id = cgroup;\n                                          RETURN NULL;\n                                  END;\n                                  ", null]
function	create_user_agent(character varying)	["integer", "plpgsql", "v", "u", false, false, true, false, "\nDECLARE ua_id INT;\nBEGIN\n  SELECT count(*) INTO ua_id FROM user_agents WHERE name = $1;\n  IF ua_id=0 THEN\n    BEGIN\n      INSERT INTO user_agents (name) VALUES($1);\n    EXCEPTION WHEN unique_violation THEN\n      -- do nothing\n    END;\n  END IF;\n  SELECT id INTO ua_id FROM  user_agents WHERE name = $1;\n  RETURN ua_id;\nEND;\n", null]
function	get_branch_authors(comment integer)	["SETOF integer", "sql", "v", "s", false, false, false, true, "\n      WITH RECURSIVE r AS\n        (SELECT id, replyto, userid FROM comments WHERE id = comment\n          UNION\n            SELECT comments.id, comments.replyto, comments.userid\n            FROM comments JOIN r ON comments.id = r.replyto\n        ) SELECT distinct userid from r\n      ", null]
function	get_title(bigint)	["character varying", "sql", "v", "u", false, false, false, false, "select title from comments where id=$1 union select title from topics where id=$1", null]
function	msgdel()	["trigger", "plpgsql", "v", "u", false, false, false, false, "\n            BEGIN\n              UPDATE topics SET lastmod=CURRENT_TIMESTAMP WHERE id = NEW.msgid;\n              RETURN NULL;\n            END;\n          ", null]
function	msgundel()	["trigger", "plpgsql", "v", "u", false, false, false, false, "\n                    BEGIN\n                      UPDATE topics SET lastmod=CURRENT_TIMESTAMP WHERE id = OLD.msgid;\n                      RETURN NULL;\n                    END;\n                    ", null]
function	new_event()	["trigger", "plpgsql", "v", "u", false, false, false, false, "\nBEGIN\n\tUPDATE users SET unread_events=unread_events+1 WHERE users.id = NEW.userid;\n\tRETURN NULL;\nEND;\n", null]
function	normalize_email(email text)	["text", "plpgsql", "i", "u", false, false, false, false, "\n  DECLARE\n    localpart text;\n    domainpart text;\n  BEGIN\n    SELECT regexp_replace(email, '@[^@]*$', '') INTO localpart;\n    SELECT regexp_replace(email, '.*@', '') INTO domainpart;\n\n    IF domainpart = 'gmail.com' then\n        SELECT regexp_replace(localpart, '[.]', '', 'g') INTO localpart;\n    END IF;\n\n    RETURN concat(localpart, '@', domainpart);\n  END;\n", null]
function	stat_update()	["timestamp with time zone", "plpgsql", "v", "u", false, false, false, false, "\n          DECLARE\n                  top record;\n                  st record;\n                  now timestamp;\n          BEGIN\n                  now=CURRENT_TIMESTAMP;\n                  FOR top IN SELECT id FROM topics WHERE stat3!=0 FOR UPDATE LOOP\n                      SELECT count(*) as st1,\n                             count(CASE WHEN now-'1 day'::interval<postdate THEN 1 ELSE null END) as st3\n                          INTO st\n                          FROM comments WHERE topic = top.id AND NOT deleted;\n\n                      UPDATE topics SET stat1=st.st1, stat3=st.st3\n                          WHERE id = top.id AND (stat1!=st.st1 OR stat3!=st.st3);\n                  END LOOP;\n                  RETURN now;\n          END;\n          ", null]
function	stat_update2()	["timestamp with time zone", "plpgsql", "v", "u", false, false, false, false, "\nDECLARE\n    grp record;\n    s3 int;\n    t3 int;\n    now timestamp;\nBEGIN\n    now=CURRENT_TIMESTAMP;\n    FOR grp IN SELECT id FROM groups WHERE stat3!=0 FOR UPDATE LOOP\n        SELECT COALESCE(sum(stat3), 0) INTO s3 FROM topics WHERE groupid = grp.id AND NOT deleted AND lastmod>CURRENT_TIMESTAMP-'2 days'::interval;\n        SELECT count(*) INTO t3 FROM topics WHERE groupid = grp.id AND CURRENT_TIMESTAMP-'1 day'::interval<postdate AND NOT deleted;\n        UPDATE groups SET stat3 = s3 + t3 WHERE id = grp.id AND stat3 != s3 + t3;\n    END LOOP;\n    RETURN now;\nEND;\n", null]
