methods,path,params,produces,controller,handler,source,line,annotation
POST,/usermod.jsp,action=toggle_corrector,,UserModificationController,toggleUserCorrector,src/main/scala/ru/org/linux/user/UserModificationController.scala,191,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=toggle_corrector""))"
POST,/usermod.jsp,action=reset-password,,UserModificationController,resetPassword,src/main/scala/ru/org/linux/user/UserModificationController.scala,210,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=reset-password""))"
POST,/usermod.jsp,action=remove_userinfo,,UserModificationController,removeUserInfo,src/main/scala/ru/org/linux/user/UserModificationController.scala,231,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=remove_userinfo""))"
POST,/usermod.jsp,action=remove_town,,UserModificationController,removeTown,src/main/scala/ru/org/linux/user/UserModificationController.scala,245,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=remove_town""))"
POST,/usermod.jsp,action=remove_url,,UserModificationController,removeUrl,src/main/scala/ru/org/linux/user/UserModificationController.scala,256,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=remove_url""))"
POST,/usermod.jsp,action=freeze,,UserModificationController,freezeUser,src/main/scala/ru/org/linux/user/UserModificationController.scala,291,"@RequestMapping(value = Array(""/usermod.jsp""), method = Array(RequestMethod.POST), params = Array(""action=freeze""))"
ANY,/view-deleted,,,DeletedCommentController,viewDeleted,src/main/scala/ru/org/linux/comment/DeletedCommentController.scala,35,"@RequestMapping(Array(""/view-deleted""))"
ANY,/view-message.jsp,,,TopicController,getMessageOld,src/main/scala/ru/org/linux/topic/TopicController.scala,359,"@RequestMapping(path = Array(""/view-message.jsp""))"
"GET,HEAD",/view-news.jsp,tag,,TagTopicListController,tagFeedOld,src/main/scala/ru/org/linux/topic/TagTopicListController.scala,168,"@RequestMapping( value = Array(""/view-news.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""tag""))"
ANY,/view-section.jsp,,,SectionController,oldLink,src/main/scala/ru/org/linux/section/SectionController.scala,45,"@RequestMapping(value = Array(""/view-section.jsp""))"
POST,/vote.jsp,,,VoteController,vote,src/main/scala/ru/org/linux/poll/VoteController.scala,30,"@RequestMapping(value = Array(""/vote.jsp""), method = Array(RequestMethod.POST))"
ANY,/whois.jsp,,,WhoisController,getInfo,src/main/scala/ru/org/linux/user/WhoisController.scala,162,"@RequestMapping(path = Array(""/whois.jsp""))"
GET,/yandex-tableau,,application/json,UserEventApiController,getYandexWidget,src/main/scala/ru/org/linux/user/UserEventApiController.scala,47,"@RequestMapping(value = Array(""/yandex-tableau""), method = Array(RequestMethod.GET), produces = Array(""application/json""))"
ANY,/{section}/,,,TopicListController,topics,src/main/scala/ru/org/linux/topic/TopicListController.scala,167,"@RequestMapping(path = Array(""/{section:(?:news)|(?:polls)|(?:articles)|(?:gallery)}/""))"
ANY,/{section}/archive/{year}/{month},,,TopicListController,sectionArchive,src/main/scala/ru/org/linux/topic/TopicListController.scala,218,"@RequestMapping(path = Array(""/{section}/archive/{year:\\d{4}}/{month}""))"
ANY,/{section}/{group},,,TopicListController,topicsByGroup,src/main/scala/ru/org/linux/topic/TopicListController.scala,203,"@RequestMapping(path = Array(""/{section:(?:news)|(?:polls)|(?:articles)|(?:gallery)}/{group:[^.]+}""))"
ANY,/{section}/{group}/{id},,,TopicController,getMessageMain,src/main/scala/ru/org/linux/topic/TopicController.scala,98,"@RequestMapping(value = Array(""/{section:(?:forum)|(?:news)|(?:polls)|(?:articles)|(?:gallery)}/{group}/{id}""))"
GET,/{section}/{group}/{id}/page{page},,,TopicController,getMessagePage,src/main/scala/ru/org/linux/topic/TopicController.scala,127,"@RequestMapping(value = Array(""/{section:(?:forum)|(?:news)|(?:polls)|(?:articles)|(?:gallery)}/{group}/{id}/page{page}""), method = Array(RequestMethod.GET))"
GET,/{section}/{group}/{id}/thread/{threadRoot},,,TopicController,getMessageThread,src/main/scala/ru/org/linux/topic/TopicController.scala,143,"@RequestMapping(value = Array(""/{section:(?:forum)|(?:news)|(?:polls)|(?:articles)|(?:gallery)}/{group}/{id}/thread/{threadRoot}""), method = Array(RequestMethod.GET))"
