methods,path,params,produces,controller,handler,source,line,annotation
POST,/notifications-click,,,UserEventController,clickNotifications,src/main/scala/ru/org/linux/user/UserEventController.scala,68,"@RequestMapping(value = Array(""/notifications-click""), method = Array(RequestMethod.POST))"
POST,/notifications-click/ajax,,application/json,UserEventController,clickNotificationsAjax,src/main/scala/ru/org/linux/user/UserEventController.scala,76,"@RequestMapping(value = Array(""/notifications-click/ajax""), method = Array(RequestMethod.POST), produces = Array(""application/json""))"
GET,/notifications-count,,,UserEventApiController,getEventsCount,src/main/scala/ru/org/linux/user/UserEventApiController.scala,31,"@RequestMapping(value = Array(""/notifications-count""), method = Array(RequestMethod.GET))"
POST,/notifications-reset,,,UserEventApiController,resetNotifications,src/main/scala/ru/org/linux/user/UserEventApiController.scala,37,"@RequestMapping(value = Array(""/notifications-reset""), method = Array(RequestMethod.POST))"
ANY,/people/{nick},output=rss,,UserTopicListController,showUserTopicsRssGone,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,84,"@RequestMapping(params = Array(""output=rss""))"
ANY,/people/{nick}/deleted-comments,,,ShowCommentsController,showDeletedComments,src/main/scala/ru/org/linux/comment/ShowCommentsController.scala,61,"@RequestMapping(value = Array(""/people/{nick}/deleted-comments""))"
GET,/people/{nick}/deleted-topics,,,UserTopicListController,showDeletedTopics,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,143,"@RequestMapping(value = Array(""deleted-topics""), method = Array(RequestMethod.GET))"
ANY,/people/{nick}/drafts,,,UserTopicListController,showUserDrafts,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,59,"@RequestMapping(value = Array(""drafts""))"
GET,/people/{nick}/edit,,,EditProfileController,show,src/main/scala/ru/org/linux/user/EditProfileController.scala,58,@RequestMapping(method = Array(RequestMethod.GET))
POST,/people/{nick}/edit,,,EditProfileController,edit,src/main/scala/ru/org/linux/user/EditProfileController.scala,102,@RequestMapping(method = Array(RequestMethod.POST))
ANY,/people/{nick}/favs,,,UserTopicListController,showUserFavs,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,37,"@RequestMapping(value = Array(""favs""))"
"GET,HEAD",/people/{nick}/profile,reset-password,,ResetPasswordController,showModeratorForm,src/main/scala/ru/org/linux/user/ResetPasswordController.scala,33,"@RequestMapping(value = Array(""/people/{nick}/profile""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""reset-password""))"
"GET,HEAD",/people/{nick}/profile,,,WhoisController,getInfoNew,src/main/scala/ru/org/linux/user/WhoisController.scala,49,"@RequestMapping(value = Array(""/people/{nick}/profile""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
"GET,HEAD",/people/{nick}/profile,year-stats,,WhoisController,yearStats,src/main/scala/ru/org/linux/user/WhoisController.scala,204,"@RequestMapping(value = Array(""/people/{nick}/profile""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""year-stats""))"
"GET,HEAD",/people/{nick}/profile/wipe,,,UserModificationController,wipe,src/main/scala/ru/org/linux/user/UserModificationController.scala,315,"@RequestMapping(value = Array(""/people/{nick}/profile/wipe""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
GET,/people/{nick}/remark,,,EditRemarkController,showForm,src/main/scala/ru/org/linux/user/EditRemarkController.scala,29,@RequestMapping(method = Array(RequestMethod.GET))
POST,/people/{nick}/remark,,,EditRemarkController,editProfile,src/main/scala/ru/org/linux/user/EditRemarkController.scala,48,@RequestMapping(method = Array(RequestMethod.POST))
ANY,/people/{nick}/remarks,,,ShowRemarkController,showRemarks,src/main/scala/ru/org/linux/user/ShowRemarkController.scala,26,"@RequestMapping(Array(""/people/{nick}/remarks""))"
GET,/people/{nick}/settings,,,EditSettingsController,showForm,src/main/scala/ru/org/linux/user/EditSettingsController.scala,37,@RequestMapping(method = Array(RequestMethod.GET))
POST,/people/{nick}/settings,,,EditSettingsController,updateSettings,src/main/scala/ru/org/linux/user/EditSettingsController.scala,78,@RequestMapping(method = Array(RequestMethod.POST))
ANY,/people/{nick}/tracked,,,UserTopicListController,showUserWatches,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,161,"@RequestMapping(value = Array(""tracked""))"
ANY,/poll.boxlet,,,PollBoxlet,getData,src/main/scala/ru/org/linux/poll/PollBoxlet.scala,30,"@RequestMapping(Array(""/poll.boxlet""))"
ANY,/polls/archive,,,ArchiveController,pollsArchive,src/main/scala/ru/org/linux/topic/ArchiveController.scala,82,"@RequestMapping(path = Array(""/polls/archive""))"
ANY,/polls/{group}/{id}/history,,,EditHistoryController,showEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))"
ANY,/polls/{group}/{id}/{commentid}/history,,,EditHistoryController,showCommentEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))"
GET,/post-warning,,,WarningController,showForm,src/main/scala/ru/org/linux/warning/WarningController.scala,50,"@RequestMapping(value = Array(""/post-warning""), method = Array(RequestMethod.GET))"
POST,/post-warning,,,WarningController,post,src/main/scala/ru/org/linux/warning/WarningController.scala,98,"@RequestMapping(value = Array(""/post-warning""), method = Array(RequestMethod.POST))"
GET,/reactions,comment,,ReactionController,commentReaction,src/main/scala/ru/org/linux/reaction/ReactionController.scala,44,"@RequestMapping(params = Array(""comment""), method = Array(RequestMethod.GET))"
POST,/reactions,comment,,ReactionController,setCommentReaction,src/main/scala/ru/org/linux/reaction/ReactionController.scala,90,"@RequestMapping(params = Array(""comment""), method = Array(RequestMethod.POST))"
GET,/reactions,!comment,,ReactionController,topicReaction,src/main/scala/ru/org/linux/reaction/ReactionController.scala,114,"@RequestMapping(params = Array(""!comment""), method = Array(RequestMethod.GET))"
POST,/reactions,!comment,,ReactionController,setTopicReaction,src/main/scala/ru/org/linux/reaction/ReactionController.scala,162,"@RequestMapping(params = Array(""!comment""), method = Array(RequestMethod.POST))"
POST,/reactions/ajax,comment,,ReactionController,setCommentReactionAjax,src/main/scala/ru/org/linux/reaction/ReactionController.scala,101,"@RequestMapping(value=Array(""/ajax""), params = Array(""comment""), method = Array(RequestMethod.POST))"
POST,/reactions/ajax,!comment,,ReactionController,setTopicReactionAjax,src/main/scala/ru/org/linux/reaction/ReactionController.scala,172,"@RequestMapping(value = Array(""/ajax""), params = Array(""!comment""), method = Array(RequestMethod.POST))"
GET,/register.jsp,,,RegisterController,register,src/main/scala/ru/org/linux/user/RegisterController.scala,50,"@RequestMapping(value = Array(""/register.jsp""), method = Array(RequestMethod.GET))"
POST,/register.jsp,,,RegisterController,doRegister,src/main/scala/ru/org/linux/user/RegisterController.scala,65,"@RequestMapping(value = Array(""/register.jsp""), method = Array(RequestMethod.POST))"
POST,/remove-userpic.jsp,,,UserModificationController,removeUserpic,src/main/scala/ru/org/linux/user/UserModificationController.scala,267,"@RequestMapping(value = Array(""/remove-userpic.jsp""), method = Array(RequestMethod.POST))"
GET,/reset-password,,,ResetPasswordController,showCodeForm,src/main/scala/ru/org/linux/user/ResetPasswordController.scala,47,"@RequestMapping(value = Array(""/reset-password""), method = Array(RequestMethod.GET))"
POST,/reset-password,,,ResetPasswordController,resetPassword,src/main/scala/ru/org/linux/user/ResetPasswordController.scala,50,"@RequestMapping(value = Array(""/reset-password""), method = Array(RequestMethod.POST))"
ANY,/resolve.jsp,,,ResolveController,resolve,src/main/scala/ru/org/linux/topic/ResolveController.scala,29,"@RequestMapping(Array(""/resolve.jsp""))"
ANY,/sameip.jsp,,,SameIPController,sameIP,src/main/scala/ru/org/linux/admin/SameIPController.scala,59,"@RequestMapping(Array(""/sameip.jsp""))"
"GET,HEAD",/search.jsp,,,SearchController,search,src/main/scala/ru/org/linux/search/SearchController.scala,56,"@RequestMapping(value = Array(""/search.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD))"
ANY,/section-rss.jsp,,,TopicListController,showRSS,src/main/scala/ru/org/linux/topic/TopicListController.scala,240,"@RequestMapping(path = Array(""/section-rss.jsp""))"
GET,/setpostscore.jsp,,,TopicModificationController,showForm,src/main/scala/ru/org/linux/topic/TopicModificationController.scala,41,"@RequestMapping(value = Array(""/setpostscore.jsp""), method = Array(RequestMethod.GET))"
POST,/setpostscore.jsp,,,TopicModificationController,modifyTopic,src/main/scala/ru/org/linux/topic/TopicModificationController.scala,51,"@RequestMapping(value = Array(""/setpostscore.jsp""), method = Array(RequestMethod.POST))"
ANY,/show-comments.jsp,,,ShowCommentsController,showComments,src/main/scala/ru/org/linux/comment/ShowCommentsController.scala,32,"@RequestMapping(Array(""/show-comments.jsp""))"
"GET,HEAD",/show-replies.jsp,"!output,!nick",,UserEventController,showNotificationsOld,src/main/scala/ru/org/linux/user/UserEventController.scala,191,"@RequestMapping(value = Array(""/show-replies.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""!output"", ""!nick""))"
"GET,HEAD",/show-replies.jsp,!output,,UserEventController,showNotificationsForModerator,src/main/scala/ru/org/linux/user/UserEventController.scala,197,"@RequestMapping(value = Array(""/show-replies.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""!output""))"
"GET,HEAD",/show-replies.jsp,output,,UserEventController,repliesFeed,src/main/scala/ru/org/linux/user/UserEventController.scala,254,"@RequestMapping(value = Array(""/show-replies.jsp""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""output""))"
GET,/show-topics.jsp,,,TopicListController,showUserTopics,src/main/scala/ru/org/linux/topic/TopicListController.scala,231,"@RequestMapping(value = Array(""/show-topics.jsp""), method = Array(RequestMethod.GET))"
"GET,HEAD",/tag/{tag},,,TagPageController,tagPage,src/main/scala/ru/org/linux/tag/TagPageController.scala,61,"@RequestMapping(method = Array(RequestMethod.GET, RequestMethod.HEAD))"
"GET,HEAD",/tag/{tag},section,,TagTopicListController,tagFeed,src/main/scala/ru/org/linux/topic/TagTopicListController.scala,74,"@RequestMapping( value = Array(""/tag/{tag}""), method = Array(RequestMethod.GET, RequestMethod.HEAD), params = Array(""section""))"
ANY,/tags,,,TagController,showDefaultTagListHandlertags,src/main/scala/ru/org/linux/tag/TagController.scala,40,"@RequestMapping(path = Array(""/tags""))"
ANY,/tags,term,,TagController,showTagListHandlerJSON,src/main/scala/ru/org/linux/tag/TagController.scala,93,"@RequestMapping(value = Array(""/tags""), params = Array(""term""))"
ANY,/tags.jsp,,,TagController,oldTagsRedirectHandler,src/main/scala/ru/org/linux/tag/TagController.scala,83,"@RequestMapping(path = Array(""/tags.jsp""))"
