status,methods,path,params,controller,handler,rust_match,source
covered,ANY,/,,MainPageController,mainPage,GET /,src/main/scala/ru/org/linux/spring/MainPageController.scala:40
covered,ANY,/ExceptionResolver,,ExceptionController,defaultExceptionHandler,GET /ExceptionResolver,src/main/scala/ru/org/linux/exception/ExceptionController.scala:27
covered,ANY,/about,,ServerInfoController,serverInfo,GET /about,src/main/scala/ru/org/linux/spring/ServerInfoController.scala:26
covered,GET,/activate,,RegisterController,activateForm,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:117
covered,POST,/activate,action,RegisterController,activateNew,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:123
covered,POST,/activate,!action,RegisterController,activate,"GET,POST /activate",src/main/scala/ru/org/linux/user/RegisterController.scala:172
covered,GET,/activate.jsp,,RegisterController,activateForm,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:117
covered,POST,/activate.jsp,action,RegisterController,activateNew,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:123
covered,POST,/activate.jsp,!action,RegisterController,activate,"GET,POST /activate.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:172
covered,ANY,/add-section.jsp,section,AddTopicController,showFormWithSection,GET /add-section.jsp,src/main/scala/ru/org/linux/topic/AddTopicController.scala:308
covered,ANY,/add-section.jsp,!section,AddTopicController,showFormAllSections,GET /add-section.jsp,src/main/scala/ru/org/linux/topic/AddTopicController.scala:373
covered,GET,/add.jsp,,AddTopicController,add,"GET,POST /add.jsp",src/main/scala/ru/org/linux/topic/AddTopicController.scala:132
covered,POST,/add.jsp,,AddTopicController,doAdd,"GET,POST /add.jsp",src/main/scala/ru/org/linux/topic/AddTopicController.scala:172
covered,GET,/add_comment.jsp,,AddCommentController,showFormReply,"GET,POST /add_comment.jsp",src/main/scala/ru/org/linux/comment/AddCommentController.scala:54
covered,POST,/add_comment.jsp,,AddCommentController,addComment,"GET,POST /add_comment.jsp",src/main/scala/ru/org/linux/comment/AddCommentController.scala:89
covered,POST,/add_comment_ajax,,AddCommentController,addCommentAjax,POST /add_comment_ajax,src/main/scala/ru/org/linux/comment/AddCommentController.scala:136
covered,GET,/addphoto.jsp,,UserpicController,showForm,"GET,POST /addphoto.jsp",src/main/scala/ru/org/linux/user/UserpicController.scala:45
covered,POST,/addphoto.jsp,,UserpicController,addPhoto,"GET,POST /addphoto.jsp",src/main/scala/ru/org/linux/user/UserpicController.scala:52
covered,GET,/admin/geoip,,GeoLocationController,geoip,GET /admin/geoip,src/main/scala/ru/org/linux/auth/GeoLocationController.scala:24
covered,POST,/admin/search-reindex,action=all,SearchControlController,reindexAll,"GET,POST /admin/search-reindex",src/main/scala/ru/org/linux/search/SearchControlController.scala:28
covered,POST,/admin/search-reindex,action=current,SearchControlController,reindexCurrentMonth,"GET,POST /admin/search-reindex",src/main/scala/ru/org/linux/search/SearchControlController.scala:51
covered,GET,/admin/search-reindex,,SearchControlController,reindex,"GET,POST /admin/search-reindex",src/main/scala/ru/org/linux/search/SearchControlController.scala:64
covered,ANY,/articles.boxlet,,ArticlesBoxlet,getData,GET /articles.boxlet,src/main/scala/ru/org/linux/boxlets/ArticlesBoxlet.scala:29
covered,ANY,/articles/archive,,ArchiveController,articlesArchive,GET /articles/archive,src/main/scala/ru/org/linux/topic/ArchiveController.scala:85
covered,ANY,/articles/{group}/{id}/history,,EditHistoryController,showEditInfo,GET /articles/:group/:id/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:35
covered,ANY,/articles/{group}/{id}/{commentid}/history,,EditHistoryController,showCommentEditInfo,GET /articles/:group/:id/:commentid/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:60
covered,POST,/banip.jsp,,BanIPController,banIP,POST /banip.jsp,src/main/scala/ru/org/linux/auth/BanIPController.scala:34
