methods,path,spring_path,params,headers,consumes,produces,controller,handler,source_language,response_body,response_kind,response_status,response_content_types,request_params,path_variables,model_attributes,controller_model_attributes,controller_exception_handlers,form_fields,model_keys,view_names,source,line,annotation,class_annotation
GET,/people/{nick}/remark,/people/{nick}/remark,,,,,EditRemarkController,showForm,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/edit-remark.jsp page directive"",""confidence"":""high""}]",[],"[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,edit-remark,src/main/scala/ru/org/linux/user/EditRemarkController.scala,29,@RequestMapping(method = Array(RequestMethod.GET)),"@RequestMapping(Array(""/people/{nick}/remark""))"
POST,/people/{nick}/remark,/people/{nick}/remark,,,,,EditRemarkController,editProfile,scala,False,redirect-or-view,,[],"[{""name"":""text"",""parameter"":""text"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,,src/main/scala/ru/org/linux/user/EditRemarkController.scala,48,@RequestMapping(method = Array(RequestMethod.POST)),"@RequestMapping(Array(""/people/{nick}/remark""))"
ANY,/people/{nick}/remarks,/people/{nick}/remarks,,,,,ShowRemarkController,showRemarks,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/view-remarks.jsp page directive"",""confidence"":""high""}]","[{""name"":""offset"",""parameter"":""offset"",""type"":""Int"",""required"":false,""default"":""0"",""source"":""annotation"",""confidence"":""high""},{""name"":""sort"",""parameter"":""sortorder"",""type"":""Int"",""required"":false,""default"":""0"",""source"":""annotation"",""confidence"":""high""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,view-remarks,src/main/scala/ru/org/linux/user/ShowRemarkController.scala,26,"@RequestMapping(Array(""/people/{nick}/remarks""))",
GET,/people/{nick}/settings,/people/{nick}/settings,,,,,EditSettingsController,showForm,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/edit-settings.jsp page directive"",""confidence"":""high""}]",[],"[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,edit-settings,src/main/scala/ru/org/linux/user/EditSettingsController.scala,37,@RequestMapping(method = Array(RequestMethod.GET)),"@RequestMapping (path = Array (""/people/{nick}/settings"") )"
POST,/people/{nick}/settings,/people/{nick}/settings,,,,,EditSettingsController,updateSettings,scala,False,redirect-or-view,,[],"[{""name"":""topics"",""parameter"":""topics"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""messages"",""parameter"":""messages"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""format_mode"",""parameter"":""formatMode"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""style"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""photos"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""hideAdsense"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""mainGallery"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""oldTracker"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""oldNotifications"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""trackerMode"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""avatar"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""},{""name"":""reactionNotification"",""parameter"":null,""type"":null,""required"":null,""default"":null,""source"":""direct-getParameter"",""confidence"":""medium""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,,src/main/scala/ru/org/linux/user/EditSettingsController.scala,78,@RequestMapping(method = Array(RequestMethod.POST)),"@RequestMapping (path = Array (""/people/{nick}/settings"") )"
ANY,/people/{nick}/tracked,/people/{nick}/tracked,,,,,UserTopicListController,showUserWatches,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/user-topics.jsp page directive"",""confidence"":""high""}]","[{""name"":""offset"",""parameter"":""rawOffset"",""type"":""Int"",""required"":false,""default"":""0"",""source"":""annotation"",""confidence"":""high""}]","[{""name"":""nick"",""parameter"":""nick"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],"[{""handler"":""handleNotFoundException"",""exceptions"":[""UserNotFoundException"",""SectionNotFoundException""],""response_status"":""NOT_FOUND"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,"navtitle,offset,ptitle,url",user-topics,src/main/scala/ru/org/linux/topic/UserTopicListController.scala,161,"@RequestMapping(value = Array(""tracked""))","@RequestMapping(path = Array(""/people/{nick}""))"
ANY,/poll.boxlet,/poll.boxlet,,,,,PollBoxlet,getData,scala,False,html-view,,"[{""value"":""text/html;charset=UTF-8"",""source"":""WEB-INF/jsp/boxlets/poll.jsp page directive"",""confidence"":""high""}]",[],[],[],[],[],,"count,countUsers,message,poll,userVoted,votedVariants",boxlets/poll,src/main/scala/ru/org/linux/poll/PollBoxlet.scala,30,"@RequestMapping(Array(""/poll.boxlet""))",
ANY,/polls/archive,/polls/archive,,,,,ArchiveController,pollsArchive,scala,False,html-view,,[],[],[],[],[],"[{""handler"":""handleNotFoundException"",""exceptions"":[""GroupNotFoundException""],""response_status"":""NOT_FOUND"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,,src/main/scala/ru/org/linux/topic/ArchiveController.scala,82,"@RequestMapping(path = Array(""/polls/archive""))",
ANY,/polls/{group}/{id}/history,/polls/{group}/{id}/history,,,,,EditHistoryController,showEditInfo,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/history.jsp page directive"",""confidence"":""high""}]",[],"[{""name"":""id"",""parameter"":""msgid"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))",
ANY,/polls/{group}/{id}/{commentid}/history,/polls/{group}/{id}/{commentid}/history,,,,,EditHistoryController,showCommentEditInfo,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/history.jsp page directive"",""confidence"":""high""}]",[],"[{""name"":""id"",""parameter"":""msgid"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""commentid"",""parameter"":""commentId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],,,history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))",
